,=,<,>,:,+,-,%,|,&,!,*,â€œ,/,other
0F,1,2,3,5,8,9,14,15,17,19,21,22,23,-1
1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
2,12,24,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
3,13,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
4F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,11,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,30
9F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1
16F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1
18F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22FF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30FF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
